#xi phi g4
-8.000000 4.979424 0.935219
-8.000000 4.995132 0.928222
-8.000000 5.010840 0.921016
-8.000000 5.026548 0.913627
-8.000000 5.042256 0.906086
-8.000000 5.057964 0.898423
-8.000000 5.073672 0.890667
-8.000000 5.089380 0.882849
-8.000000 5.105088 0.875000
-8.000000 5.120796 0.867151
-8.000000 5.136504 0.859333
-8.000000 5.152212 0.851577
-8.000000 5.167920 0.843914
-8.000000 5.183628 0.836373
-8.000000 5.199336 0.828984
-8.000000 5.215044 0.821778
-8.000000 5.230752 0.814781
-8.000000 5.246460 0.808022
-8.000000 5.262168 0.801527
-8.000000 5.277876 0.795322
-8.000000 5.293584 0.789432
-8.000000 5.309292 0.783879
-8.000000 5.325000 0.778686
-8.000000 5.340708 0.773873
-8.000000 5.356415 0.769459
-8.000000 5.372123 0.765462
-8.000000 5.387831 0.761897
-8.000000 5.403539 0.758778
-8.000000 5.419247 0.756118
-8.000000 5.434955 0.753927
-8.000000 5.450663 0.752214
-8.000000 5.466371 0.750986
-8.000000 5.482079 0.750247
-8.000000 5.497787 0.750000
-8.000000 5.513495 0.750247
-8.000000 5.529203 0.750986
-8.000000 5.544911 0.752214
-8.000000 5.560619 0.753927
-8.000000 5.576327 0.756118
-8.000000 5.592035 0.758778
-8.000000 5.607743 0.761897
-8.000000 5.623451 0.765462
-8.000000 5.639159 0.769459
-8.000000 5.654867 0.773873
-8.000000 5.670575 0.778686
-8.000000 5.686283 0.783879
-8.000000 5.701991 0.789432
-8.000000 5.717699 0.795322
-8.000000 5.733407 0.801527
-8.000000 5.749115 0.808022
-8.000000 5.764823 0.814781
-8.000000 5.780530 0.821778
-8.000000 5.796238 0.828984
-8.000000 5.811946 0.836373
-8.000000 5.827654 0.843914
-8.000000 5.843362 0.851577
-8.000000 5.859070 0.859333
-8.000000 5.874778 0.867151
-8.000000 5.890486 0.875000
-8.000000 5.906194 0.882849
-8.000000 5.921902 0.890667
-8.000000 5.937610 0.898423
-8.000000 5.953318 0.906086
-8.000000 5.969026 0.913627
